Id,Label
Q7Z4H3,Protein
Q8WW35,Protein
Q9Y2L1,Protein
Q9UIJ7,Protein
O43934,Protein
Q96DN2,Protein
P61086,Protein
Q86WN2,Protein
Q9UBB4,Protein
Q8NGX8,Protein
B3KU38,Protein
Q9NQ36,Protein
P15289,Protein
Q969I6,Protein
Q8WUM0,Protein
P57077,Protein
P49789,Protein
Q92537,Protein
P0DMU8,Protein
C9JLR9,Protein
Q5JTZ5,Protein
Q6ZN66,Protein
Q96PG1,Protein
Q49SQ1,Protein
P49810,Protein
Q14802,Protein
Q6ZRF8,Protein
P21817,Protein
Q96BR6,Protein
Q16627,Protein
Q13402,Protein
P36896,Protein
Q92567,Protein
P56524,Protein
Q99640,Protein
Q9BTT4,Protein
Q8IV53,Protein
Q9UKR3,Protein
Q9BSD3,Protein
Q9H0E9,Protein
Q15833,Protein
Q99741,Protein
P51170,Protein
Q9NTX7,Protein
Q00LT1,Protein
P54277,Protein
P43630,Protein
Q6ZRP0,Protein
A0A0K0K1G6,Protein
Q9BUK6,Protein
Q5VTH9,Protein
Q8NDW8,Protein
S4R3P1,Protein
Q86VE9,Protein
O76041,Protein
O75390,Protein
P15260,Protein
Q9BUR4,Protein
Q7L513,Protein
Q8N7X0,Protein
Q9BUV0,Protein
Q9H165,Protein
A6NKF7,Protein
Q9GZU1,Protein
P50991,Protein
Q9NZB8,Protein
Q9NRY7,Protein
Q9Y3A4,Protein
Q7Z6Z7,Protein
Q96JJ7,Protein
P48145,Protein
Q9H4I8,Protein
O60830,Protein
P62945,Protein
Q8IVF1,Protein
P62913,Protein
Q8TDY2,Protein
Q86VV4,Protein
A8MUM7,Protein
P78386,Protein
Q9BY12,Protein
Q6ZQY7,Protein
Q8NGQ4,Protein
O75935,Protein
Q8IYR0,Protein
Q9UBK5,Protein
B2RXF5,Protein
Q9BV38,Protein
Q9UNE2,Protein
Q15435,Protein
O94955,Protein
Q0VDD7,Protein
Q9Y3F1,Protein
P34913,Protein
Q9Y625,Protein
Q8NEP9,Protein
Q96HU8,Protein
Q8N3D4,Protein
Q99435,Protein
A0A0A6YYK4,Protein
A8MWV9,Protein
Q96C00,Protein
Q8ND61,Protein
Q9H6I2,Protein
Q12789,Protein
Q9Y5M8,Protein
Q1EHB4,Protein
P56645,Protein
Q69YW2,Protein
Q9BQL6,Protein
Q6EEV6,Protein
Q5JT25,Protein
P24863,Protein
Q8WU03,Protein
Q9Y421,Protein
Q8IVP9,Protein
Q5T7R7,Protein
Q9Y216,Protein
Q969V4,Protein
A0A0B4J280,Protein
Q9NRL3,Protein
Q6NW40,Protein
Q9UL63,Protein
P42765,Protein
A6NFE3,Protein
Q14695,Protein
Q96I24,Protein
Q02080,Protein
Q9Y234,Protein
Q93077,Protein
Q8NGC9,Protein
P31997,Protein
P56730,Protein
O14832,Protein
P17020,Protein
Q96J01,Protein
Q9NTK5,Protein
Q53GQ0,Protein
P55771,Protein
Q96MG7,Protein
Q86UR5,Protein
Q96AT9,Protein
Q9NWX6,Protein
Q8IX21,Protein
A0A0A0MT78,Protein
P26447,Protein
Q86X83,Protein
P07911,Protein
Q9NPF7,Protein
Q9BPX7,Protein
A0A1B0GTR3,Protein
P18283,Protein
P20618,Protein
Q6SJ96,Protein
Q9NS85,Protein
Q68CQ1,Protein
Q9NX46,Protein
Q86UG4,Protein
P46940,Protein
Q9BQS8,Protein
Q68BL7,Protein
C0HLU2,Protein
A5D8T8,Protein
Q5TBA9,Protein
Q5T7P2,Protein
Q7Z5K2,Protein
P08247,Protein
Q9NS61,Protein
Q6ZUM4,Protein
Q12846,Protein
Q4FZB7,Protein
Q9NPB0,Protein
P29317,Protein
P50281,Protein
Q8NGR1,Protein
Q9H340,Protein
Q9NV58,Protein
Q9UJU2,Protein
P01588,Protein
Q9NYQ7,Protein
Q7Z6G3,Protein
Q9NPI7,Protein
A8MTT3,Protein
Q3T906,Protein
O00170,Protein
Q6P4F7,Protein
A6NMU1,Protein
Q49AM3,Protein
Q9H7T9,Protein
Q99829,Protein
A6NI79,Protein
P61567,Protein
O43395,Protein
Q8TF68,Protein
O60240,Protein
A8MXY4,Protein
Q9UJQ7,Protein
Q14152,Protein
P40763,Protein
Q12929,Protein
Q9BU02,Protein
Q9UBF2,Protein
Q13795,Protein
Q5T0N1,Protein
Q6UWV6,Protein
Q64LD2,Protein
Q8NFP0,Protein
O15503,Protein
Q9BTE0,Protein
P17152,Protein
Q8N2K1,Protein
Q9Y6F7,Protein
Q4W5P6,Protein
Q5VWW1,Protein
B2RTY4,Protein
Q9Y5X9,Protein
A6NCL1,Protein
A8MZ26,Protein
Q7L8J4,Protein
P53370,Protein
Q8TB40,Protein
Q9NQT6,Protein
P56851,Protein
Q9H4A6,Protein
Q8TF08,Protein
P13533,Protein
P49407,Protein
A5PKW4,Protein
Q8NHZ7,Protein
Q8N2G4,Protein
Q96GC5,Protein
Q13255,Protein
O75832,Protein
Q5TZ20,Protein
Q9Y223,Protein
Q2NKQ1,Protein
Q495D7,Protein
P29033,Protein
Q14409,Protein
P33151,Protein
A6NIV6,Protein
P05231,Protein
O14633,Protein
P51813,Protein
Q9NS18,Protein
Q96BW5,Protein
Q8WWT9,Protein
P43246,Protein
Q9Y661,Protein
P80217,Protein
Q9NZ56,Protein
Q9Y5Y7,Protein
Q9Y2Q5,Protein
P30556,Protein
Q9H1B5,Protein
Q8N9G6,Protein
Q9BZA8,Protein
Q9H019,Protein
Q6S545,Protein
Q5TGI0,Protein
O95859,Protein
P56749,Protein
Q6NUN7,Protein
Q8N4B1,Protein
O60701,Protein
P16930,Protein
Q86UC2,Protein
Q96N38,Protein
Q8N1G1,Protein
Q9NVD3,Protein
Q9H0Y0,Protein
Q8NA58,Protein
Q8N7C0,Protein
Q8NAM6,Protein
Q8NDY6,Protein
C9JUS6,Protein
Q8N0V4,Protein
Q9BYU1,Protein
O60890,Protein
Q9UJ96,Protein
Q9HBM1,Protein
Q96FQ6,Protein
Q13444,Protein
O43298,Protein
Q9H0H0,Protein
O15072,Protein
Q96RP9,Protein
A6NMD0,Protein
Q9NZR2,Protein
Q5QGZ9,Protein
Q8IY17,Protein
A4D1N5,Protein
Q8IWF7,Protein
P36871,Protein
P13224,Protein
A6NJR5,Protein
Q96MF7,Protein
Q9NTU4,Protein
Q9H9L7,Protein
Q15486,Protein
Q4G0N8,Protein
Q6ZVZ8,Protein
Q00587,Protein
Q13164,Protein
O00555,Protein
Q9Y6K9,Protein
Q9UL41,Protein
Q9Y5F7,Protein
Q9BVC5,Protein
Q6GPH6,Protein
P18825,Protein
P61165,Protein
Q15013,Protein
Q9UL01,Protein
A4D2B8,Protein
Q8N7X1,Protein
Q9BT67,Protein
Q9Y3D8,Protein
Q9P272,Protein
Q5T481,Protein
P0CI00,Protein
Q9BXM0,Protein
Q6UXV1,Protein
Q5H9T9,Protein
Q86X19,Protein
A5LHX3,Protein
